,Year,State,Division,County,Region,Population_Description,Offense,Offender_Race,Offender_Ethnicity,Offender_Age,Offender_Sex,Victim_Type,Location,Weapon,Property_Type,Stolen_Value,Recovered_Value,Recovered?,Recovery_Date
5151,2013,West Virginia,South Atlantic,MINERAL,South,"MSA counties under 10,000",All Other Larceny,White,,22.0,M,Individual,Residence/Home,,Household Goods,2265.0,0.0,N,
54451,2013,South Carolina,South Atlantic,ABBEVILLE,South,"Non-MSA counties from 10,000 thru 24,999",Burglary/Breaking & Entering,,,,,Individual,Other/Unknown,,Other,1150.0,0.0,N,
4407,2013,South Carolina,South Atlantic,BERKELEY,South,"MSA counties 100,000 or over",All Other Larceny,,,,,Individual,Other/Unknown,,Household Goods,5000.0,0.0,N,
52963,2013,Tennessee,East South Central,CHEATHAM,South,"MSA counties from 25,000 thru 99,999",Drug/Narcotic Violations,Unknown,,,U,Society/Public,Field/Woods,,Other,40000.0,40000.0,Y,08-Jan-13
84432,2013,Tennessee,East South Central,SHELBY,South,"MSA counties 100,000 or over",All Other Larceny,,,,,Business,Other/Unknown,,Trailers,50000.0,50000.0,Y,05-Jan-13
52907,2013,South Carolina,South Atlantic,ORANGEBURG,South,"Cities under 2,500",Burglary/Breaking & Entering,Unknown,,,U,Government,School-College/University,,Other,3710.0,0.0,N,
52710,2013,Tennessee,East South Central,SULLIVAN; CARTER; WASHINGTON,South,"Cities from 50,000 thru 99,999",Theft From Motor Vehicle,,,,,Business,Parking/Drop Lot/Garage,,Consumable Goods,5500.0,0.0,N,
52652,2013,South Carolina,South Atlantic,HORRY,South,"MSA counties 100,000 or over",Destruction/Damage/Vandalism of Property,Unknown,,,U,Individual,Convenience Store,,Other,22000.0,0.0,N,
52646,2013,Tennessee,East South Central,CHEATHAM,South,"MSA counties from 25,000 thru 99,999",Drug/Narcotic Violations,White,,32.0,M,Individual,Field/Woods,,Other,40000.0,40000.0,Y,08-Jan-13
4031,2013,South Carolina,South Atlantic,HORRY,South,"MSA counties 100,000 or over",All Other Larceny,,,,,Individual,Residence/Home,,Watercraft,1600.0,1600.0,Y,19-Aug-13
38122,2013,Tennessee,East South Central,SHELBY,South,"Cities from 500,000 thru 999,999",Theft From Motor Vehicle,,,,,Business,Other/Unknown,,Radio/ TV/ VCR,4000.0,0.0,N,
38123,2013,Tennessee,East South Central,SHELBY,South,"Cities from 500,000 thru 999,999",Theft From Motor Vehicle,,,,,Business,Parking/Drop Lot/Garage,,Radio/ TV/ VCR,16127.0,0.0,N,
52645,2013,Tennessee,East South Central,CHEATHAM,South,"MSA counties from 25,000 thru 99,999",Drug/Narcotic Violations,White,,55.0,M,Individual,Field/Woods,,Other,40000.0,40000.0,Y,08-Jan-13
52644,2013,Tennessee,East South Central,CHEATHAM,South,"MSA counties from 25,000 thru 99,999",Drug/Narcotic Violations,White,,32.0,M,Individual,Field/Woods,,Other,40000.0,40000.0,Y,08-Jan-13
52643,2013,Tennessee,East South Central,CHEATHAM,South,"MSA counties from 25,000 thru 99,999",Drug/Narcotic Violations,White,,55.0,M,Individual,Field/Woods,,Other,40000.0,40000.0,Y,08-Jan-13
38213,2013,Tennessee,East South Central,SHELBY,South,"Cities from 500,000 thru 999,999",Theft From Motor Vehicle,,,,,Business,Other/Unknown,,Radio/ TV/ VCR,4000.0,0.0,N,
38214,2013,Tennessee,East South Central,SHELBY,South,"Cities from 500,000 thru 999,999",Theft From Motor Vehicle,,,,,Business,Commercial/Office Building,,Radio/ TV/ VCR,1200.0,0.0,N,
52512,2013,Virginia,South Atlantic,STAFFORD,South,"MSA counties 100,000 or over",Theft From Motor Vehicle,Unknown,,18.0,M,Business,Other/Unknown,,Consumable Goods,40000.0,0.0,N,
52508,2013,South Carolina,South Atlantic,DARLINGTON,South,"MSA counties from 25,000 thru 99,999",Theft From Motor Vehicle,Unknown,,,U,Business,Commercial/Office Building,,Trucks,15000.0,0.0,N,
52392,2013,Tennessee,East South Central,SHELBY,South,"Cities from 500,000 thru 999,999",Theft From Motor Vehicle,,,,,Business,Parking/Drop Lot/Garage,,Consumable Goods,3800.0,0.0,N,
52350,2013,Florida,South Atlantic,MARION,South,"MSA counties 100,000 or over",Theft From Motor Vehicle,,,,,Business,Not Specified,,Consumable Goods,51600.0,0.0,N,
52349,2013,Florida,South Atlantic,ORANGE,South,"Cities from 25,000 thru 49,999",Theft From Motor Vehicle,,,,,Business,Not Specified,,Trucks,42000.0,0.0,N,
52305,2013,Michigan,East North Central,SHIAWASSEE,Midwest,"Cities under 2,500",Burglary/Breaking & Entering,,,,,Government,School-Elementary/Secondary,,Recreational/ Sports Equipment,2500.0,0.0,N,
38736,2013,Florida,South Atlantic,MIAMI-DADE,South,"Cities from 25,000 thru 49,999",Theft From Motor Vehicle,,,,,Business,Commercial/Office Building,,Radio/ TV/ VCR,6576.0,0.0,N,
52964,2013,Tennessee,East South Central,CHEATHAM,South,"MSA counties from 25,000 thru 99,999",Drug/Narcotic Violations,Unknown,,,U,Society/Public,Field/Woods,,Other,40000.0,40000.0,Y,08-Jan-13
84204,2013,Florida,South Atlantic,ORANGE,South,"MSA counties 100,000 or over",Motor Vehicle Theft,,,,,Individual,Field/Woods,,Trailers,7000.0,0.0,N,
37566,2013,Michigan,East North Central,WAYNE,Midwest,"Cities from 2,500 thru 9,999",Theft From Motor Vehicle,,,,,Individual,Highway/Road/Alley/Street/Sidewalk,,Radio/ TV/ VCR,1300.0,0.0,N,
52970,2013,Tennessee,East South Central,CHEATHAM,South,"MSA counties from 25,000 thru 99,999",Drug/Narcotic Violations,White,,55.0,M,Society/Public,Field/Woods,,Other,40000.0,40000.0,Y,08-Jan-13
34822,2013,South Carolina,South Atlantic,EDGEFIELD,South,"Cities under 2,500",Robbery,Black or African American,,21.0,M,Individual,Department/Discount Store,None,Money,1440.0,0.0,N,
34823,2013,South Carolina,South Atlantic,EDGEFIELD,South,"Cities under 2,500",Robbery,Black or African American,,24.0,M,Individual,Department/Discount Store,None,Money,1440.0,0.0,N,
4333,2013,Tennessee,East South Central,SHELBY,South,"MSA counties 100,000 or over",Motor Vehicle Theft,,,,,Business,Highway/Road/Alley/Street/Sidewalk,,Other Motor Vehicles,10000.0,0.0,N,
35320,2013,North Dakota,West North Central,FOSTER,Midwest,"Cities under 2,500",Robbery,,,,,Individual,Bank/Savings and Loan,Unknown,Money,6209.0,0.0,N,
53720,2013,West Virginia,South Atlantic,MINERAL,South,"MSA counties under 10,000",Burglary/Breaking & Entering,Unknown,,,U,Individual,Residence/Home,,Other,1900.0,0.0,N,
84301,2013,Mississippi,East South Central,HINDS,South,"Cities under 2,500",Robbery,White,Hispanic or Latino,99.0,M,Business,Parking/Drop Lot/Garage,Firearm,Fuel,250000.0,150000.0,Y,25-Jan-13
35614,2013,South Carolina,South Atlantic,EDGEFIELD,South,"Cities under 2,500",Robbery,Black or African American,,21.0,M,Business,Department/Discount Store,None,Money,1440.0,0.0,N,
35615,2013,South Carolina,South Atlantic,EDGEFIELD,South,"Cities under 2,500",Robbery,Black or African American,,24.0,M,Business,Department/Discount Store,None,Money,1440.0,0.0,N,
36151,2013,Tennessee,East South Central,SEQUATCHIE,South,"MSA counties under 10,000",Theft of Motor Vehicle Parts or Accessories,White,,31.0,M,Individual,Field/Woods,,Automobile,3500.0,3500.0,Y,10-Apr-14
36152,2013,Tennessee,East South Central,SEQUATCHIE,South,"MSA counties under 10,000",Theft of Motor Vehicle Parts or Accessories,White,,31.0,M,Individual,Field/Woods,,Recreational Vehicles,1800.0,0.0,N,
36325,2013,Tennessee,East South Central,SHELBY,South,"Cities from 500,000 thru 999,999",Theft From Motor Vehicle,,,,,Individual,Commercial/Office Building,,Radio/ TV/ VCR,1200.0,0.0,N,
36490,2013,North Dakota,West North Central,FOSTER,Midwest,"Cities under 2,500",Robbery,,,,,Financial Institution,Bank/Savings and Loan,Unknown,Money,6209.0,0.0,N,
4237,2013,Tennessee,East South Central,SULLIVAN; CARTER; WASHINGTON,South,"Cities from 50,000 thru 99,999",All Other Larceny,Unknown,,,U,Individual,Residence/Home,,Household Goods,2000.0,0.0,N,
53270,2013,Tennessee,East South Central,SHELBY,South,"Cities from 500,000 thru 999,999",Theft From Motor Vehicle,,,,,Business,Highway/Road/Alley/Street/Sidewalk,,Consumable Goods,2000.0,0.0,N,
37123,2013,South Carolina,South Atlantic,LEXINGTON,South,"Cities from 10,000 thru 24,999",Theft From Motor Vehicle,Black or African American,,,M,Individual,Residence/Home,,Radio/ TV/ VCR,1500.0,0.0,N,
37124,2013,South Carolina,South Atlantic,LEXINGTON,South,"Cities from 10,000 thru 24,999",Theft From Motor Vehicle,Black or African American,,,U,Individual,Residence/Home,,Radio/ TV/ VCR,1500.0,0.0,N,
84395,2013,Florida,South Atlantic,MIAMI-DADE,South,"Cities under 2,500",Motor Vehicle Theft,,,,,Other,Hotel/Motel/Etc.,,Clothes/ Furs,70000.0,0.0,N,
84415,2013,South Carolina,South Atlantic,ORANGEBURG,South,"Non-MSA counties from 25,000 thru 99,999",All Other Larceny,Unknown,,,U,Individual,Residence/Home,,"Metals, Non-Precious",5600.0,0.0,N,
52973,2013,Tennessee,East South Central,CHEATHAM,South,"MSA counties from 25,000 thru 99,999",Drug/Narcotic Violations,White,,32.0,M,Society/Public,Field/Woods,,Other,40000.0,40000.0,Y,08-Jan-13
52972,2013,Tennessee,East South Central,CHEATHAM,South,"MSA counties from 25,000 thru 99,999",Drug/Narcotic Violations,White,,55.0,M,Society/Public,Field/Woods,,Other,40000.0,40000.0,Y,08-Jan-13
52971,2013,Tennessee,East South Central,CHEATHAM,South,"MSA counties from 25,000 thru 99,999",Drug/Narcotic Violations,White,,32.0,M,Society/Public,Field/Woods,,Other,40000.0,40000.0,Y,08-Jan-13
37553,2013,South Carolina,South Atlantic,GEORGETOWN,South,"Non-MSA counties from 25,000 thru 99,999",Theft From Motor Vehicle,,,,,Individual,Other/Unknown,,Automobile,20000.0,20000.0,Y,28-Mar-13
5164,2013,Tennessee,East South Central,SULLIVAN; CARTER; WASHINGTON,South,"Cities from 50,000 thru 99,999",All Other Larceny,White,,45.0,M,Individual,Other/Unknown,,Household Goods,2000.0,0.0,N,
83947,2013,Michigan,East North Central,MACOMB,Midwest,"Cities from 10,000 thru 24,999",All Other Larceny,White,,19.0,M,Business,Industrial Site,,"Metals, Non-Precious",10000.0,0.0,N,
83946,2013,Michigan,East North Central,MACOMB,Midwest,"Cities from 10,000 thru 24,999",All Other Larceny,White,,22.0,M,Business,Industrial Site,,"Metals, Non-Precious",10000.0,0.0,N,
31401,2013,South Carolina,South Atlantic,CHESTERFIELD,South,"Non-MSA counties from 25,000 thru 99,999",All Other Larceny,Unknown,,,U,Business,Residence/Home,,Automobile,100000.0,0.0,N,
57085,2013,Tennessee,East South Central,SHELBY,South,"Cities from 500,000 thru 999,999",Motor Vehicle Theft,,,,,Business,Other/Unknown,,Other,20000.0,0.0,N,
31417,2013,Michigan,East North Central,MACOMB,Midwest,"Cities from 100,000 thru 249,999",All Other Larceny,,,,,Business,Bank/Savings and Loan,,Money,2000.0,0.0,N,
6351,2013,Michigan,East North Central,OAKLAND,Midwest,"Cities from 10,000 thru 24,999",Robbery,Black or African American,,28.0,M,Business,Specialty Store,Handgun,Portable Electronic Communications,15574.0,0.0,N,
57071,2013,Florida,South Atlantic,MIAMI-DADE,South,"Cities from 100,000 thru 249,999",Motor Vehicle Theft,,,,,Business,Parking/Drop Lot/Garage,,Other,50000.0,50000.0,Y,11-Sep-13
83442,2013,South Carolina,South Atlantic,DARLINGTON,South,"MSA counties from 25,000 thru 99,999",Burglary/Breaking & Entering,Unknown,,,U,Business,Commercial/Office Building,,Trailers,4000.0,0.0,N,
31694,2013,West Virginia,South Atlantic,WOOD,South,"Cities from 25,000 thru 49,999",Credit Card/Automated Teller Machine Fraud,White,,20.0,F,Individual,Bank/Savings and Loan,,Money,3058.0,0.0,N,
31695,2013,West Virginia,South Atlantic,WOOD,South,"Cities from 25,000 thru 49,999",Credit Card/Automated Teller Machine Fraud,White,,43.0,F,Individual,Bank/Savings and Loan,,Money,3058.0,0.0,N,
31736,2013,Tennessee,East South Central,CHEATHAM,South,"MSA counties from 25,000 thru 99,999",All Other Larceny,White,,55.0,M,Individual,Farm Facility,,Crops,10000.0,10000.0,Y,09-Jan-13
31737,2013,Tennessee,East South Central,CHEATHAM,South,"MSA counties from 25,000 thru 99,999",All Other Larceny,White,,32.0,M,Individual,Farm Facility,,Crops,10000.0,10000.0,Y,09-Jan-13
31738,2013,Tennessee,East South Central,CHEATHAM,South,"MSA counties from 25,000 thru 99,999",All Other Larceny,White,,55.0,M,Individual,Farm Facility,,Crops,10000.0,10000.0,Y,09-Jan-13
31739,2013,Tennessee,East South Central,CHEATHAM,South,"MSA counties from 25,000 thru 99,999",All Other Larceny,White,,32.0,M,Individual,Farm Facility,,Crops,10000.0,10000.0,Y,09-Jan-13
31753,2013,South Carolina,South Atlantic,HORRY,South,"Cities from 10,000 thru 24,999",All Other Larceny,White,,28.0,M,Individual,Residence/Home,,Radio/ TV/ VCR,1200.0,0.0,N,
83456,2013,Florida,South Atlantic,ORANGE,South,"Cities from 25,000 thru 49,999",Burglary/Breaking & Entering,,,,,Business,Not Specified,,Trailers,40000.0,0.0,N,
56851,2013,South Carolina,South Atlantic,DARLINGTON,South,"MSA counties from 25,000 thru 99,999",All Other Larceny,Unknown,,,U,Individual,Residence/Home,,Other,3500.0,0.0,N,
6130,2013,Tennessee,East South Central,SHELBY,South,"Cities from 500,000 thru 999,999",All Other Larceny,Black or African American,,23.0,M,Business,Dock/Wharf/Freight/Modal Terminal,,Portable Electronic Communications,1800.0,1800.0,Y,10-Apr-13
56841,2013,South Carolina,South Atlantic,HORRY,South,"MSA counties 100,000 or over",All Other Larceny,Unknown,,,U,Individual,Parking/Drop Lot/Garage,,Other,1130.0,350.0,Y,11-Sep-13
56801,2013,South Carolina,South Atlantic,HORRY,South,"MSA counties 100,000 or over",All Other Larceny,Unknown,,,U,Government,Parking/Drop Lot/Garage,,Other,1130.0,350.0,Y,11-Sep-13
56766,2013,South Carolina,South Atlantic,ORANGEBURG,South,"Cities under 2,500",Motor Vehicle Theft,Unknown,,,U,Individual,Parking/Drop Lot/Garage,,Other,60000.0,0.0,N,
32085,2013,Tennessee,East South Central,CHEATHAM,South,"MSA counties from 25,000 thru 99,999",All Other Larceny,Unknown,,,U,Society/Public,Farm Facility,,Crops,10000.0,10000.0,Y,09-Jan-13
6106,2013,Tennessee,East South Central,SHELBY,South,"MSA counties 100,000 or over",All Other Larceny,,,,,Business,Other/Unknown,,Household Goods,100000.0,100000.0,Y,05-Jan-13
6534,2013,Tennessee,East South Central,SHELBY,South,"Cities under 2,500",All Other Larceny,Unknown,,,U,Business,Air/Bus/Train Terminal,,Portable Electronic Communications,10980.0,0.0,N,
32086,2013,Tennessee,East South Central,CHEATHAM,South,"MSA counties from 25,000 thru 99,999",All Other Larceny,Unknown,,,U,Society/Public,Farm Facility,,Crops,10000.0,10000.0,Y,09-Jan-13
31256,2013,South Carolina,South Atlantic,HORRY,South,"Cities from 10,000 thru 24,999",All Other Larceny,White,,24.0,F,Individual,Other/Unknown,,Radio/ TV/ VCR,1650.0,0.0,N,
31254,2013,South Carolina,South Atlantic,HORRY,South,"Cities from 10,000 thru 24,999",All Other Larceny,White,,18.0,F,Individual,Other/Unknown,,Radio/ TV/ VCR,1650.0,0.0,N,
57856,2013,South Carolina,South Atlantic,FAIRFIELD,South,"MSA counties from 10,000 thru 24,999",All Other Larceny,Unknown,,,U,Individual,Service/Gas Station,,Other,23000.0,0.0,N,
57735,2013,Florida,South Atlantic,MIAMI-DADE,South,"Cities from 100,000 thru 249,999",Motor Vehicle Theft,,,,,Business,Parking/Drop Lot/Garage,,Other,65000.0,10000.0,Y,06-Aug-13
30669,2013,Michigan,East North Central,WAYNE,Midwest,"Cities from 2,500 thru 9,999",All Other Larceny,White,,19.0,F,Individual,Residence/Home,,Money,6000.0,0.0,N,
30670,2013,Michigan,East North Central,WAYNE,Midwest,"Cities from 2,500 thru 9,999",All Other Larceny,White,,22.0,F,Individual,Service/Gas Station,,Money,3600.0,0.0,N,
57562,2013,Michigan,East North Central,EMMET,Midwest,"Non-MSA counties from 25,000 thru 99,999",False Pretenses/Swindle/Confidence Game,White,,23.0,F,Business,Department/Discount Store,,Other,1989.0,1989.0,Y,26-Mar-13
57561,2013,Michigan,East North Central,EMMET,Midwest,"Non-MSA counties from 25,000 thru 99,999",False Pretenses/Swindle/Confidence Game,White,,42.0,M,Business,Department/Discount Store,,Other,1989.0,1989.0,Y,26-Mar-13
57560,2013,Michigan,East North Central,EMMET,Midwest,"Non-MSA counties from 25,000 thru 99,999",False Pretenses/Swindle/Confidence Game,White,,42.0,M,Business,Department/Discount Store,,Other,1989.0,1989.0,Y,26-Mar-13
57522,2013,South Carolina,South Atlantic,BERKELEY,South,"MSA counties 100,000 or over",Motor Vehicle Theft,,,,,Business,Parking/Drop Lot/Garage,,Other,27000.0,27000.0,Y,19-Nov-13
6656,2013,South Carolina,South Atlantic,BERKELEY,South,"MSA counties 100,000 or over",All Other Larceny,,,,,Religious Organization,Church/Synagogue/Temple/Mosque,,Household Goods,6000.0,0.0,N,
6655,2013,South Carolina,South Atlantic,BERKELEY,South,"MSA counties 100,000 or over",All Other Larceny,,,,,Religious Organization,Church/Synagogue/Temple/Mosque,,Household Goods,6000.0,0.0,N,
6648,2013,Florida,South Atlantic,POLK,South,"MSA counties 100,000 or over",All Other Larceny,,,,,Business,Not Specified,,Household Goods,20000.0,0.0,N,
57495,2013,South Carolina,South Atlantic,KERSHAW,South,"MSA counties from 25,000 thru 99,999",All Other Larceny,Unknown,,1.0,U,Individual,Residence/Home,,Other,1500.0,0.0,N,
30931,2013,South Carolina,South Atlantic,ABBEVILLE,South,"Cities from 2,500 thru 9,999",All Other Larceny,Black or African American,,44.0,M,Individual,Residence/Home,,Automobile,6000.0,6000.0,Y,30-May-13
83308,2013,Tennessee,East South Central,SHELBY,South,"Cities from 500,000 thru 999,999",All Other Larceny,,,,,Business,Parking/Drop Lot/Garage,,Trailers,12500.0,0.0,N,
83310,2013,South Carolina,South Atlantic,DORCHESTER; CHARLESTON,South,"Cities from 100,000 thru 249,999",All Other Larceny,,,,,Business,Rental Storage Facility,,Trailers,5000.0,0.0,N,
6555,2013,Tennessee,East South Central,SHELBY,South,"MSA counties 100,000 or over",All Other Larceny,,,,,Business,Highway/Road/Alley/Street/Sidewalk,,Other Motor Vehicles,10000.0,0.0,N,
6554,2013,Tennessee,East South Central,SHELBY,South,"MSA counties 100,000 or over",All Other Larceny,,,,,Business,Other/Unknown,,Household Goods,100000.0,100000.0,Y,05-Jan-13
57192,2013,South Carolina,South Atlantic,LEXINGTON,South,"Cities from 10,000 thru 24,999",All Other Larceny,Unknown,,,U,Individual,Residence/Home,,Other,1500.0,0.0,N,
31253,2013,South Carolina,South Atlantic,HORRY,South,"Cities from 10,000 thru 24,999",All Other Larceny,White,,20.0,M,Individual,Other/Unknown,,Radio/ TV/ VCR,1650.0,0.0,N,
83390,2013,Virginia,South Atlantic,FREDERICK,South,"MSA counties from 25,000 thru 99,999",Theft From Motor Vehicle,,,,,Business,Parking/Drop Lot/Garage,,Trailers,10000.0,10000.0,Y,08-Oct-13
83393,2013,Florida,South Atlantic,LAKE,South,"MSA counties 100,000 or over",Theft From Motor Vehicle,,,,,Business,Not Specified,,Trailers,20000.0,0.0,N,
31255,2013,South Carolina,South Atlantic,HORRY,South,"Cities from 10,000 thru 24,999",All Other Larceny,White,,24.0,F,Individual,Other/Unknown,,Radio/ TV/ VCR,1650.0,0.0,N,
32099,2013,Tennessee,East South Central,CHEATHAM,South,"MSA counties from 25,000 thru 99,999",All Other Larceny,White,,55.0,M,Society/Public,Farm Facility,,Crops,10000.0,10000.0,Y,09-Jan-13
32100,2013,Tennessee,East South Central,CHEATHAM,South,"MSA counties from 25,000 thru 99,999",All Other Larceny,White,,32.0,M,Society/Public,Farm Facility,,Crops,10000.0,10000.0,Y,09-Jan-13
32101,2013,Tennessee,East South Central,CHEATHAM,South,"MSA counties from 25,000 thru 99,999",All Other Larceny,White,,55.0,M,Society/Public,Farm Facility,,Crops,10000.0,10000.0,Y,09-Jan-13
5532,2013,Florida,South Atlantic,POLK,South,"MSA counties 100,000 or over",All Other Larceny,White,,,M,Business,Not Specified,,Household Goods,50000.0,50000.0,Y,21-Dec-13
32874,2013,South Carolina,South Atlantic,GEORGETOWN,South,"Non-MSA counties from 25,000 thru 99,999",Robbery,Black or African American,,,M,Individual,Highway/Road/Alley/Street/Sidewalk,Handgun,Automobile,4000.0,0.0,N,
32882,2013,South Carolina,South Atlantic,LEXINGTON,South,"Cities from 10,000 thru 24,999",Robbery,White,,20.0,M,Individual,Residence/Home,Handgun (Automatic),Automobile,5000.0,5000.0,Y,19-Oct-13
32884,2013,South Carolina,South Atlantic,LEXINGTON,South,"Cities from 10,000 thru 24,999",Rape,White,,24.0,M,Individual,Residence/Home,Handgun (Automatic),Automobile,5000.0,5000.0,Y,19-Oct-13
32886,2013,South Carolina,South Atlantic,LEXINGTON,South,"Cities from 10,000 thru 24,999",Robbery,White,,24.0,M,Individual,Residence/Home,Handgun (Automatic),Automobile,5000.0,5000.0,Y,19-Oct-13
32888,2013,South Carolina,South Atlantic,LEXINGTON,South,"Cities from 10,000 thru 24,999",Rape,White,,24.0,M,Individual,Residence/Home,Handgun (Automatic),Automobile,5000.0,5000.0,Y,19-Oct-13
32890,2013,South Carolina,South Atlantic,LEXINGTON,South,"Cities from 10,000 thru 24,999",Robbery,White,,24.0,M,Individual,Residence/Home,Handgun (Automatic),Automobile,5000.0,5000.0,Y,19-Oct-13
32892,2013,South Carolina,South Atlantic,LEXINGTON,South,"Cities from 10,000 thru 24,999",Rape,White,,20.0,M,Individual,Residence/Home,Handgun,Automobile,5000.0,5000.0,Y,19-Oct-13
32894,2013,South Carolina,South Atlantic,LEXINGTON,South,"Cities from 10,000 thru 24,999",Robbery,White,,20.0,M,Individual,Residence/Home,Handgun,Automobile,5000.0,5000.0,Y,19-Oct-13
32896,2013,South Carolina,South Atlantic,LEXINGTON,South,"Cities from 10,000 thru 24,999",Rape,White,,24.0,M,Individual,Residence/Home,Handgun,Automobile,5000.0,5000.0,Y,19-Oct-13
32898,2013,South Carolina,South Atlantic,LEXINGTON,South,"Cities from 10,000 thru 24,999",Robbery,White,,24.0,M,Individual,Residence/Home,Handgun,Automobile,5000.0,5000.0,Y,19-Oct-13
32900,2013,South Carolina,South Atlantic,LEXINGTON,South,"Cities from 10,000 thru 24,999",Rape,White,,24.0,M,Individual,Residence/Home,Handgun,Automobile,5000.0,5000.0,Y,19-Oct-13
32902,2013,South Carolina,South Atlantic,LEXINGTON,South,"Cities from 10,000 thru 24,999",Robbery,White,,24.0,M,Individual,Residence/Home,Handgun,Automobile,5000.0,5000.0,Y,19-Oct-13
32937,2013,South Carolina,South Atlantic,LEXINGTON,South,"Cities from 10,000 thru 24,999",Rape,Black or African American,,53.0,M,Society/Public,Residence/Home,Handgun (Automatic),Automobile,5000.0,5000.0,Y,19-Oct-13
32939,2013,South Carolina,South Atlantic,LEXINGTON,South,"Cities from 10,000 thru 24,999",Robbery,Black or African American,,53.0,M,Society/Public,Residence/Home,Handgun (Automatic),Automobile,5000.0,5000.0,Y,19-Oct-13
83928,2013,Virginia,South Atlantic,HENRY,South,"Non-MSA counties from 25,000 thru 99,999",All Other Larceny,White,,25.0,M,Business,Service/Gas Station,,Trailers,17500.0,17500.0,Y,03-Apr-13
83932,2013,Florida,South Atlantic,POLK,South,"MSA counties 100,000 or over",All Other Larceny,White,,,M,Business,Not Specified,,Trailers,50000.0,50000.0,Y,22-Dec-13
32941,2013,South Carolina,South Atlantic,LEXINGTON,South,"Cities from 10,000 thru 24,999",Rape,Black or African American,,53.0,M,Society/Public,Residence/Home,Handgun,Automobile,5000.0,5000.0,Y,19-Oct-13
5236,2013,Michigan,East North Central,WAYNE,Midwest,"Cities from 2,500 thru 9,999",All Other Larceny,,,,,Individual,Commercial/Office Building,,Structure/ Other industrial,1200.0,0.0,N,
55711,2013,Tennessee,East South Central,COCKE,South,"Cities from 2,500 thru 9,999",Motor Vehicle Theft,Unknown,,,U,Individual,Parking/Drop Lot/Garage,,Collections/ Collectibles,4558.0,0.0,N,
83945,2013,Michigan,East North Central,MACOMB,Midwest,"Cities from 10,000 thru 24,999",All Other Larceny,White,,24.0,M,Business,Industrial Site,,"Metals, Non-Precious",10000.0,0.0,N,
32773,2013,South Carolina,South Atlantic,HORRY,South,"Cities from 10,000 thru 24,999",Robbery,White,,,M,Individual,Convenience Store,Handgun,Money,4526.0,1526.0,Y,31-Jan-13
56118,2013,South Carolina,South Atlantic,GREENWOOD,South,"Cities from 10,000 thru 24,999",Burglary/Breaking & Entering,Unknown,,,U,Individual,Residence/Home,,Other,2170.0,0.0,N,
32567,2013,South Carolina,South Atlantic,LEXINGTON,South,"Cities from 10,000 thru 24,999",Rape,White,,20.0,M,Individual,Residence/Home,Handgun (Automatic),Automobile,5000.0,5000.0,Y,19-Oct-13
32522,2013,South Carolina,South Atlantic,LEXINGTON,South,"Cities from 10,000 thru 24,999",Robbery,Black or African American,,53.0,M,Individual,Residence/Home,Handgun,Automobile,5000.0,5000.0,Y,19-Oct-13
32102,2013,Tennessee,East South Central,CHEATHAM,South,"MSA counties from 25,000 thru 99,999",All Other Larceny,White,,32.0,M,Society/Public,Farm Facility,,Crops,10000.0,10000.0,Y,09-Jan-13
32107,2013,South Carolina,South Atlantic,CHARLESTON; BERKELEY,South,"Cities from 25,000 thru 49,999",All Other Larceny,Unknown,,,U,Business,Hotel/Motel/Etc.,,Automobile,7000.0,0.0,N,
83520,2013,Tennessee,East South Central,SHELBY,South,"Cities from 500,000 thru 999,999",All Other Larceny,,,,,Individual,Parking/Drop Lot/Garage,,Trailers,6000.0,6000.0,Y,11-Feb-13
83521,2013,South Carolina,South Atlantic,ANDERSON,South,"MSA counties 100,000 or over",All Other Larceny,,,,,Individual,Residence/Home,,Trailers,2500.0,0.0,N,
56445,2013,Tennessee,East South Central,SHELBY,South,"Cities from 500,000 thru 999,999",Motor Vehicle Theft,,,,,Business,Other/Unknown,,Other,20000.0,0.0,N,
56436,2013,Florida,South Atlantic,LAKE,South,"MSA counties 100,000 or over",Motor Vehicle Theft,,,,,Business,Shopping Mall,,Other,75000.0,0.0,N,
6035,2013,South Carolina,South Atlantic,LEXINGTON,South,"Cities from 10,000 thru 24,999",All Other Larceny,White,,65.0,M,Individual,Residence/Home,,Household Goods,10000.0,0.0,N,
83625,2013,Michigan,East North Central,BERRIEN,Midwest,"Cities from 10,000 thru 24,999",All Other Larceny,,,,,Business,Parking/Drop Lot/Garage,,Trailers,12270.0,12270.0,Y,10-Mar-14
32403,2013,South Carolina,South Atlantic,HORRY,South,"Cities from 10,000 thru 24,999",Robbery,Black or African American,,,M,Individual,Convenience Store,Handgun,Money,4526.0,1526.0,Y,31-Jan-13
32404,2013,South Carolina,South Atlantic,HORRY,South,"Cities from 10,000 thru 24,999",Robbery,Black or African American,,,M,Individual,Convenience Store,Handgun,Money,4526.0,1526.0,Y,31-Jan-13
30350,2013,South Carolina,South Atlantic,LEXINGTON,South,"Cities from 10,000 thru 24,999",All Other Larceny,Unknown,,,U,Individual,Residence/Home,,Radio/ TV/ VCR,1500.0,0.0,N,
56351,2013,Florida,South Atlantic,MIAMI-DADE,South,"Cities from 25,000 thru 49,999",Burglary/Breaking & Entering,,,,,Business,Commercial/Office Building,,Other,3430.0,0.0,N,
