,Year,State,Division,County,Region,Population_Description,Offense,Offender_Race,Offender_Ethnicity,Offender_Age,Offender_Sex,Victim_Type,Location,Weapon,Property_Type,Stolen_Value,Recovered_Value,Recovered?,Recovery_Date
71328,2017,Ohio,East North Central,CUYAHOGA,Midwest,"Cities from 250,000 thru 499,999",Motor Vehicle Theft,,,,,Individual,Other/Unknown,,Tools,1500.0,0.0,N,
82393,2017,Florida,South Atlantic,BROWARD,South,"Cities from 100,000 thru 249,999",Motor Vehicle Theft,,,,,Business,Parking/Drop Lot/Garage,,Trailers,15000.0,7000.0,Y,08-Jan-18
60891,2017,Florida,South Atlantic,ST LUCIE,South,"MSA counties from 25,000 thru 99,999",Motor Vehicle Theft,,,,,Business,Parking/Drop Lot/Garage,,Other,15000.0,,N,
60890,2017,Florida,South Atlantic,DUVAL,South,"Cities from 500,000 thru 999,999",Motor Vehicle Theft,,,,,Business,Not Specified,,Other,260000.0,,N,
60889,2017,Florida,South Atlantic,DUVAL,South,"Cities from 500,000 thru 999,999",Motor Vehicle Theft,,,,,Business,Hotel/Motel/Etc.,,Other,35000.0,,N,
60887,2017,Florida,South Atlantic,BROWARD,South,"Cities from 100,000 thru 249,999",Motor Vehicle Theft,,,,,Business,Parking/Drop Lot/Garage,,Other,9277.0,,N,
82395,2017,Texas,West South Central,ROCKWALL; DENTON; COLLIN; DALLAS,South,"Cities 1,000,000 or over",Motor Vehicle Theft,,,,,Business,Parking/Drop Lot/Garage,,Trailers,30000.0,,N,
50123,2017,Texas,West South Central,ELLIS; TARRANT; DALLAS,South,"Cities from 100,000 thru 249,999",All Other Larceny,Black or African American,Not Hispanic or Latino,0.0,M,Business,Commercial/Office Building,,Consumable Goods,43172.0,,N,
60682,2017,Florida,South Atlantic,ST LUCIE,South,"MSA counties from 25,000 thru 99,999",All Other Larceny,,,,,Business,Not Specified,,Other,10000.0,,N,
78195,2017,Texas,West South Central,MONTGOMERY; FORT BEND; HARRIS,South,"Cities 1,000,000 or over",Motor Vehicle Theft,Unknown,Not Hispanic or Latino,0.0,U,Business,Parking/Drop Lot/Garage,,Trailers,48000.0,,N,
60869,2017,Maryland,South Atlantic,MONTGOMERY,South,"MSA counties 100,000 or over",Embezzlement,Unknown,,24.0,M,Business,Specialty Store,,Other,1915.0,0.0,N,
82397,2017,Florida,South Atlantic,DUVAL,South,"Cities from 500,000 thru 999,999",Motor Vehicle Theft,,,,,Business,Dock/Wharf/Freight/Modal Terminal,,Trailers,10000.0,10000.0,Y,03-Aug-17
50124,2017,Florida,South Atlantic,ALACHUA,South,"Cities from 100,000 thru 249,999",Credit Card/Automated Teller Machine Fraud,Black or African American,Unknown,40.0,M,Business,Not Specified,,Trucks,50000.0,50000.0,Y,22-Aug-17
60862,2017,Maryland,South Atlantic,MONTGOMERY,South,"MSA counties 100,000 or over",All Other Larceny,White,,41.0,M,Individual,Residence/Home,,Other,2649.0,0.0,N,
60861,2017,Maryland,South Atlantic,MONTGOMERY,South,"MSA counties 100,000 or over",All Other Larceny,White,,28.0,M,Individual,Specialty Store,,Other,4000.0,0.0,N,
60687,2017,Virginia,South Atlantic,YORK,South,"MSA counties from 25,000 thru 99,999",All Other Larceny,,,,,Business,Construction Site,,Other,4600.0,0.0,N,
50171,2017,Tennessee,East South Central,SHELBY,South,"Cities from 500,000 thru 999,999",Robbery,Black or African American,Not Hispanic or Latino,23.0,M,Individual,Convenience Store,Handgun,Consumable Goods,15000.0,0.0,N,
50644,2017,Texas,West South Central,MIDLAND,South,"MSA counties from 25,000 thru 99,999",All Other Larceny,,,,,Business,Field/Woods,,Consumable Goods,2560.0,,N,
84857,2017,Texas,West South Central,MONTGOMERY; FORT BEND; HARRIS,South,"Cities 1,000,000 or over",Embezzlement,Black or African American,Not Hispanic or Latino,29.0,M,Business,Other/Unknown,,Fuel,16960.0,,N,
50645,2017,Florida,South Atlantic,DUVAL,South,"Cities from 500,000 thru 999,999",All Other Larceny,,,,,Business,Not Specified,,Trucks,20000.0,20000.0,Y,05-Aug-17
85094,2017,Texas,West South Central,ROCKWALL; DENTON; COLLIN; DALLAS,South,"Cities 1,000,000 or over",Robbery,Unknown,Not Hispanic or Latino,65.0,U,Business,Parking/Drop Lot/Garage,Other,Trailers,5000.0,,N,
60347,2017,Texas,West South Central,ELLIS; TARRANT; DALLAS,South,"Cities from 100,000 thru 249,999",All Other Larceny,,,,,Business,Drug Store/Doctor's Office/Hospital,,Other,8000.0,8000.0,Y,27-Sep-17
78201,2017,Texas,West South Central,TARRANT,South,"Cities under 2,500",Motor Vehicle Theft,,,,,Business,Parking/Drop Lot/Garage,,Trailers,17225.0,0.0,N,
76454,2017,Massachusetts,New England,BRISTOL,Northeast,"Cities from 50,000 thru 99,999",Theft From Motor Vehicle,,,,,Individual,Residence/Home,,Computer Hard/ Software,1720.0,0.0,N,
61265,2017,Texas,West South Central,TARRANT,South,"Cities from 250,000 thru 499,999",All Other Larceny,White,Not Hispanic or Latino,42.0,M,Unknown,Industrial Site,,Other,10000.0,0.0,N,
49547,2017,Massachusetts,New England,MIDDLESEX,Northeast,"Cities from 25,000 thru 49,999",All Other Larceny,,,,,Individual,Residence/Home,,Jewelry/ Precious Metals,65000.0,0.0,N,
60407,2017,Colorado,Mountain,DOUGLAS; ADAMS; ARAPAHOE,West,"Cities from 250,000 thru 499,999",Motor Vehicle Theft,White,Not Hispanic or Latino,50.0,M,Individual,Highway/Road/Alley/Street/Sidewalk,,Other,100000.0,0.0,N,
60408,2017,Colorado,Mountain,DOUGLAS; ADAMS; ARAPAHOE,West,"Cities from 250,000 thru 499,999",Motor Vehicle Theft,White,Not Hispanic or Latino,30.0,F,Individual,Highway/Road/Alley/Street/Sidewalk,,Other,100000.0,0.0,N,
60476,2017,Florida,South Atlantic,DUVAL,South,"Cities from 500,000 thru 999,999",Motor Vehicle Theft,,,,,Individual,Not Specified,,Other,260000.0,,N,
85027,2017,Ohio,East North Central,SUMMIT,Midwest,"Cities from 10,000 thru 24,999",All Other Larceny,,,,,Individual,Other/Unknown,,Trailers,1308.0,0.0,N,
77521,2017,Ohio,East North Central,MAHONING; COLUMBIANA,Midwest,"Cities from 10,000 thru 24,999",All Other Larceny,White,,39.0,F,Individual,Residence/Home,,Computer Hard/ Software,1286.0,0.0,N,
85019,2017,Florida,South Atlantic,BROWARD,South,"Cities from 100,000 thru 249,999",All Other Larceny,,,,,Individual,Parking/Drop Lot/Garage,,Trailers,50000.0,50000.0,Y,07-Jan-17
50921,2017,Ohio,East North Central,CUYAHOGA,Midwest,"Cities from 10,000 thru 24,999",Theft From Motor Vehicle,,,,,Business,Service/Gas Station,,Consumable Goods,5022.0,0.0,N,
71167,2017,Tennessee,East South Central,WILSON,South,"Cities from 25,000 thru 49,999",Destruction/Damage/Vandalism of Property,Black or African American,Not Hispanic or Latino,25.0,M,Business,Dock/Wharf/Freight/Modal Terminal,,Computer Hard/ Software,113000.0,0.0,N,
60477,2017,Florida,South Atlantic,ST LUCIE,South,"MSA counties from 25,000 thru 99,999",Motor Vehicle Theft,,,,,Individual,Parking/Drop Lot/Garage,,Other,15000.0,,N,
49565,2017,Tennessee,East South Central,SHELBY,South,"Cities from 500,000 thru 999,999",Theft From Motor Vehicle,Unknown,Unknown,,U,Business,Parking/Drop Lot/Garage,,Consumable Goods,5000.0,0.0,N,
61207,2017,West Virginia,South Atlantic,KANAWHA,South,"MSA counties from 25,000 thru 99,999",All Other Larceny,White,,36.0,M,Individual,Residence/Home,,Other,1200.0,0.0,N,
84995,2017,Tennessee,East South Central,SHELBY,South,"Cities from 50,000 thru 99,999",Theft From Motor Vehicle,Unknown,Unknown,,U,Business,Parking/Drop Lot/Garage,,Clothes/ Furs,5000.0,0.0,N,
49587,2017,Tennessee,East South Central,HAMBLEN,South,"MSA counties from 25,000 thru 99,999",Theft From Motor Vehicle,Unknown,Not Hispanic or Latino,,U,Business,Commercial/Office Building,,Consumable Goods,3000.0,0.0,N,
60346,2017,Florida,South Atlantic,BROWARD,South,"Cities from 100,000 thru 249,999",All Other Larceny,,,,,Business,Parking/Drop Lot/Garage,,Artistic Supplies/ Accessories,46666.0,,N,
49589,2017,Tennessee,East South Central,SHELBY,South,"MSA counties 100,000 or over",Theft From Motor Vehicle,Unknown,Unknown,,U,Business,Parking/Drop Lot/Garage,,Lawn/ Yard/ Garden Equipment,1145.0,0.0,N,
61322,2017,Tennessee,East South Central,SULLIVAN,South,"Cities from 25,000 thru 49,999",All Other Larceny,Unknown,Unknown,,U,Individual,Parking/Drop Lot/Garage,,Collections/ Collectibles,1600.0,0.0,N,
85095,2017,Texas,West South Central,ROCKWALL; DENTON; COLLIN; DALLAS,South,"Cities 1,000,000 or over",Robbery,Unknown,,25.0,M,Business,Highway/Road/Alley/Street/Sidewalk,Firearm,Trailers,15000.0,,N,
49418,2017,Texas,West South Central,MCMULLEN,South,"Non-MSA counties under 10,000",All Other Larceny,,,,,Business,Industrial Site,,Consumable Goods,9540.0,,N,
49426,2017,Virginia,South Atlantic,CHESTERFIELD,South,"MSA counties 100,000 or over",Robbery,Black or African American,,,M,Business,Parking/Drop Lot/Garage,Handgun,Consumable Goods,3120.0,0.0,N,
85100,2017,Texas,West South Central,ROCKWALL; DENTON; COLLIN; DALLAS,South,"Cities 1,000,000 or over",Robbery,Black or African American,Not Hispanic or Latino,30.0,M,Business,Highway/Road/Alley/Street/Sidewalk,Firearm,Trailers,15000.0,,N,
61381,2017,Texas,West South Central,ELLIS; TARRANT; DALLAS,South,"Cities from 100,000 thru 249,999",All Other Larceny,White,Not Hispanic or Latino,35.0,M,Business,Commercial/Office Building,,Other,50000.0,,N,
49427,2017,Virginia,South Atlantic,CHESTERFIELD,South,"MSA counties 100,000 or over",Robbery,Black or African American,,,M,Business,Parking/Drop Lot/Garage,Handgun,Consumable Goods,3120.0,0.0,N,
49428,2017,Texas,West South Central,ROCKWALL; DENTON; COLLIN; DALLAS,South,"Cities 1,000,000 or over",Robbery,Black or African American,Not Hispanic or Latino,30.0,M,Business,Parking/Drop Lot/Garage,Other,Trucks,28000.0,,N,
49429,2017,Texas,West South Central,ROCKWALL; DENTON; COLLIN; DALLAS,South,"Cities 1,000,000 or over",Robbery,Black or African American,Not Hispanic or Latino,30.0,M,Business,Parking/Drop Lot/Garage,Other,Consumable Goods,18000.0,,N,
49430,2017,Texas,West South Central,ROCKWALL; DENTON; COLLIN; DALLAS,South,"Cities 1,000,000 or over",Robbery,Black or African American,Not Hispanic or Latino,30.0,M,Business,Highway/Road/Alley/Street/Sidewalk,Firearm,Trucks,80000.0,73000.0,Y,30-Oct-17
49439,2017,Texas,West South Central,ROCKWALL; DENTON; COLLIN; DALLAS,South,"Cities 1,000,000 or over",Robbery,White,Hispanic or Latino,30.0,F,Business,Highway/Road/Alley/Street/Sidewalk,Firearm,Trucks,80000.0,73000.0,Y,30-Oct-17
49440,2017,Maryland,South Atlantic,MONTGOMERY,South,"MSA counties 100,000 or over",Theft From Motor Vehicle,,,,,Government,Government/Public Building,,Alcohol,3212.0,0.0,N,
61347,2017,Arkansas,West South Central,PULASKI,South,"Cities from 50,000 thru 99,999",All Other Larceny,Black or African American,Not Hispanic or Latino,30.0,M,Business,Grocery/Supermarket,Personal Weapons,Other,1884.0,0.0,N,
50980,2017,Texas,West South Central,HANSFORD,South,"Cities from 2,500 thru 9,999",All Other Larceny,White,Not Hispanic or Latino,55.0,M,Business,Industrial Site,,Farm Equipment,10000.0,10000.0,Y,14-Aug-17
50979,2017,Texas,West South Central,HANSFORD,South,"Cities from 2,500 thru 9,999",All Other Larceny,White,Not Hispanic or Latino,32.0,M,Business,Industrial Site,,Farm Equipment,10000.0,10000.0,Y,14-Aug-17
85099,2017,Texas,West South Central,ROCKWALL; DENTON; COLLIN; DALLAS,South,"Cities 1,000,000 or over",Robbery,Black or African American,Not Hispanic or Latino,30.0,M,Business,Parking/Drop Lot/Garage,Other,Trailers,5000.0,,N,
71398,2017,Ohio,East North Central,SUMMIT,Midwest,"Cities from 25,000 thru 49,999",All Other Larceny,,,,,Individual,Residence/Home,,Tools,2133.0,0.0,N,
76639,2017,Massachusetts,New England,PLYMOUTH,Northeast,"Cities from 10,000 thru 24,999",Theft From Motor Vehicle,,,,,Business,Parking/Drop Lot/Garage,,Building Materials,13500.0,0.0,N,
61346,2017,Arkansas,West South Central,PULASKI,South,"Cities from 50,000 thru 99,999",All Other Larceny,Black or African American,Not Hispanic or Latino,29.0,M,Business,Grocery/Supermarket,Personal Weapons,Other,1884.0,0.0,N,
