Year,State,Division,County,Region,Population_Description,Offense,Offender_Race,Offender_Ethnicity,Offender_Age,Offender_Sex,Victim_Type,Location,Weapon,Property_Type,Stolen_Value,Recovered_Value,Recovered?,Recovery_Date
2019,North Carolina,South Atlantic,BUNCOMBE,South,"MSA counties 100,000 or over",Theft From Motor Vehicle,,,,,Individual,Other/Unknown,,Camping/ Hunting/ Fishing Equipment/ Supplies,1170.0,0.0,N,
2019,Massachusetts,New England,ESSEX,Northeast,"Cities from 50,000 thru 99,999",Theft From Motor Vehicle,,,,,Individual,Parking/Drop Lot/Garage,,Computer Hard/ Software,4000.0,0.0,N,
2019,North Carolina,South Atlantic,JOHNSTON,South,"Cities from 10,000 thru 24,999",Theft From Motor Vehicle,,,,,Individual,Restaurant,,Tools,1090.0,0.0,N,
2019,North Carolina,South Atlantic,GUILFORD,South,"Cities from 250,000 thru 499,999",Theft From Motor Vehicle,,,,,Individual,Highway/Road/Alley/Street/Sidewalk,,Tools,6000.0,6000.0,Y,26-Jun-19
2019,North Carolina,South Atlantic,GUILFORD,South,"Cities from 250,000 thru 499,999",Burglary/Breaking & Entering,,,,,Individual,Residence/Home,,Tools,2200.0,0.0,N,
2019,North Carolina,South Atlantic,GUILFORD,South,"Cities from 250,000 thru 499,999",Theft From Motor Vehicle,,,,,Individual,Parking/Drop Lot/Garage,,Tools,1300.0,0.0,N,
2019,Colorado,Mountain,ADAMS,West,"MSA counties 100,000 or over",Destruction/Damage/Vandalism of Property,White,Unknown,25.0,M,Individual,Hotel/Motel/Etc.,,Money,1200.0,0.0,N,
2019,Ohio,East North Central,DELAWARE; FAIRFIELD; FRANKLIN,Midwest,"Cities from 500,000 thru 999,999",Theft From Motor Vehicle,,,,,Individual,Parking/Drop Lot/Garage,,Computer Hard/ Software,6450.0,0.0,N,
2019,North Carolina,South Atlantic,WAKE,South,"MSA counties 100,000 or over",Theft From Building,,,,,Individual,Parking/Drop Lot/Garage,,Office Equipment,14683.0,0.0,N,
2019,North Carolina,South Atlantic,MECKLENBURG,South,"Cities from 500,000 thru 999,999",Theft From Motor Vehicle,,,,,Individual,Residence/Home,,Tools,1850.0,0.0,N,
